,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
387,kununurra,-15.7667,128.7333,77,100,100,5.75,AU,1611612636
388,rungata,,,,,,,,
389,foster,41.8537,-71.7581,33.01,44,34,1.01,US,1611612636
390,ucluelet,48.9329,-125.5528,43,81,75,5.75,CA,1611612636
391,montepuez,-13.1256,38.9997,69.1,99,66,2.89,MZ,1611612636
392,padang,-0.9492,100.3543,77,88,40,1.14,ID,1611612637
393,moose factory,51.2585,-80.6094,5,85,75,3.44,CA,1611612637
394,kaeo,-35.1,173.7833,80.01,54,14,5.01,NZ,1611612637
395,huarmey,-10.0681,-78.1522,75.58,65,95,8.23,PE,1611612637
396,falevao,,,,,,,,
397,baculin,7.4525,126.5842,76.24,80,96,7.96,PH,1611612637
398,kousseri,12.0769,15.0306,74.1,19,67,11.12,CM,1611612637
399,arnstadt,50.8333,10.95,27,86,0,10.36,DE,1611612638
400,bilibino,68.0546,166.4372,-30.42,81,88,1.39,RU,1611612638
401,arman,59.7,150.1667,-10.48,79,100,13.09,RU,1611612638
402,sao goncalo dos campos,-12.4333,-38.9667,75.42,76,21,7.45,BR,1611612638
403,cururupu,-1.8283,-44.8683,76.08,92,100,3.29,BR,1611612638
404,gambela,8.25,34.5833,78.4,56,67,4.61,ET,1611612638
405,grindavik,63.8424,-22.4338,26.6,59,75,31.07,IS,1611612638
406,karacakoy,41.4029,28.3834,54,81,0,6.91,TR,1611612639
407,manggar,-2.8833,108.2667,78.22,86,95,6.08,ID,1611612639
408,samusu,,,,,,,,
409,strelka,58.0728,93.0344,-34.91,81,100,1.86,RU,1611612639
410,dalmatovo,56.26,62.9362,24.06,96,88,9.75,RU,1611612639
411,gat,31.61,34.7642,52,69,0,4.32,IL,1611612639
412,guerrero negro,27.9769,-114.0611,61.84,61,40,23.98,MX,1611612640
413,basco,20.4487,121.9702,72.57,77,90,18.97,PH,1611612640
414,fairbanks,64.8378,-147.7164,5,85,40,2.91,US,1611612602
415,tuatapere,-46.1333,167.6833,77,52,100,18.99,NZ,1611612640
416,gandiaye,14.2333,-16.2667,82.4,20,0,6.91,SN,1611612640
417,krasnoselkup,65.7,82.4667,-37.21,81,100,10.2,RU,1611612640
418,olinda,-8.0089,-34.8553,78.8,65,75,12.66,BR,1611612640
419,hambantota,6.1241,81.1185,72.21,78,94,16.64,LK,1611612640
420,wharton,29.3116,-96.1027,73.4,38,90,4.61,US,1611612641
421,namtsy,62.7161,129.6658,-61.6,50,54,1.7,RU,1611612641
422,smolenka,52.1352,113.4974,-4,71,40,2.24,RU,1611612641
423,emerald,-23.5333,148.1667,78.01,78,99,8.05,AU,1611612641
424,jiuquan,39.7432,98.5174,15.01,83,0,3.96,CN,1611612642
425,gurkovo,42.6667,25.8,37.4,100,75,4.61,BG,1611612642
426,pomerode,-26.7406,-49.1769,75,98,100,1.99,BR,1611612353
427,balikpapan,-1.2675,116.8289,77,94,20,4.61,ID,1611612554
428,egvekinot,66.3167,-179.1667,-8.61,89,82,8.37,RU,1611612642
429,aksarka,66.5606,67.7975,-16.42,88,100,9.28,RU,1611612642
430,terebovlya,49.3019,25.71,36,86,100,8.99,UA,1611612642
431,touros,-5.1989,-35.4608,78.8,83,20,9.22,BR,1611612642
432,grand gaube,-20.0064,57.6608,75,82,27,3,MU,1611612643
433,galiwinku,,,,,,,,
434,ruatoria,,,,,,,,
435,maniitsoq,65.4167,-52.9,12.43,79,1,5.61,GL,1611612643
436,umzimvubu,,,,,,,,
437,barentu,15.1139,37.5928,61.65,88,25,3.22,ER,1611612643
438,saint-gabriel,46.3001,-73.3824,16,67,67,8.05,CA,1611612643
439,pavlodar,52.3,76.95,-5.8,77,40,2.24,KZ,1611612643
440,manta,-0.95,-80.7333,78.8,83,75,5.75,EC,1611612644
441,lynn haven,30.2455,-85.6483,71.01,83,90,12.66,US,1611612644
442,skelleftea,64.7507,20.9528,12.2,85,90,6.91,SE,1611612644
443,nisia floresta,-6.0911,-35.2086,80.6,83,20,9.22,BR,1611612644
444,oktyabrskoye,43.0645,44.7417,21.2,100,1,8.95,RU,1611612644
445,lebanon,36.2081,-86.2911,61,100,90,4.61,US,1611612580
446,sambava,-14.2667,50.1667,78.19,84,99,1.79,MG,1611612644
447,bandarbeyla,9.4942,50.8122,73.69,68,65,21.54,SO,1611612645
448,mahadday weyne,,,,,,,,
449,marsa matruh,31.3525,27.2453,55.4,44,0,11.5,EG,1611612645
450,hasaki,35.7333,140.8333,35.6,93,20,5.75,JP,1611612645
451,afsin,38.2477,36.914,24.17,91,78,0.74,TR,1611612645
452,longido,-2.7333,36.6833,64.72,87,97,9.84,TZ,1611612645
453,dunedin,-45.8742,170.5036,68,68,100,4,NZ,1611612645
454,praia,14.9215,-23.5087,71.6,73,0,10.36,CV,1611612646
455,olga,43.7444,135.2892,22.28,96,100,3.53,RU,1611612646
456,visby,57.6409,18.296,33.01,93,75,10.36,SE,1611612646
457,waspan,14.7419,-83.9717,82.17,67,20,7.78,NI,1611612646
458,karratha,-20.7377,116.8463,81.39,35,100,12.97,AU,1611612646
459,aksu,41.1231,80.2644,17.76,88,6,3.91,CN,1611612646
460,kavieng,-2.5744,150.7967,83.17,71,79,3.8,PG,1611612646
461,sao felix do xingu,-6.6447,-51.995,75.13,91,85,1.07,BR,1611612647
462,dharchula,29.85,80.5333,44.46,37,0,6.33,IN,1611612647
463,xuddur,4.1213,43.8894,70.63,55,0,16.4,SO,1611612647
464,broken hill,-31.95,141.4333,73.4,88,40,1.14,AU,1611612647
465,umba,66.6871,34.3429,22.57,97,100,7.81,RU,1611612647
466,te anau,-45.4167,167.7167,66.72,68,98,10.51,NZ,1611612647
467,miracema do tocantins,-9.5618,-48.3967,79.74,73,55,3.62,BR,1611612648
468,kyabram,-36.3167,145.05,75.99,78,92,7.34,AU,1611612648
469,constitucion,-35.3333,-72.4167,66.78,44,0,16.82,CL,1611612648
470,marquette,46.5333,-87.6335,19,77,91,6.71,US,1611612648
471,tabou,4.423,-7.3528,78.12,85,0,6.29,CI,1611612648
472,neyshabur,36.2133,58.7958,31.1,72,0,2.17,IR,1611612648
473,yurkivka,49.0126,31.1013,46.2,91,100,19.01,UA,1611612648
474,grand-santi,4.25,-54.3833,75.79,88,55,4.18,GF,1611612649
475,tuburan,6.6439,122.2736,77,94,40,2.3,PH,1611612649
476,puerto colombia,10.9878,-74.9547,82.4,69,0,11.5,CO,1611612649
477,biak,-0.9131,122.8766,73.33,89,100,5.12,ID,1611612649
478,oinoussai,,,,,,,,
479,bosaso,11.2842,49.1816,71.85,72,10,7.18,SO,1611612649
480,tshikapa,-6.4167,20.8,68.29,95,87,2.59,CD,1611612649
481,tokur,53.1333,132.9,-13.31,85,100,3.49,RU,1611612649
482,lugoba,-6.45,38.3333,71.35,97,68,2.1,TZ,1611612650
483,luau,-10.7073,22.2247,62.8,99,65,2.21,AO,1611612650
484,tumannyy,,,,,,,,
485,albion,42.2431,-84.753,30.99,74,90,5.75,US,1611612399
486,nymburk,50.1861,15.0417,30.2,74,0,8.05,CZ,1611612650
487,yerofey pavlovich,53.9667,121.9667,-9.08,89,100,10.36,RU,1611612650
488,puerto el triunfo,13.2833,-88.55,87.8,55,20,6.91,SV,1611612650
489,havelock,34.8791,-76.9013,48.99,100,90,3.44,US,1611612651
490,sobolevo,54.4299,31.8996,34.7,96,100,17.34,RU,1611612651
491,komsomolskiy,40.4272,71.7189,28.4,64,47,6.91,UZ,1611612651
492,masindi,1.6744,31.715,72.79,57,98,1.72,UG,1611612651
493,belyy yar,53.6039,91.3903,-34.6,74,88,2.24,RU,1611612651
494,yanchukan,,,,,,,,
495,dangtu,31.5723,118.4928,41,100,90,8.95,CN,1611612651
496,mayumba,-3.432,10.6554,78.85,87,77,6.51,GA,1611612651
497,warrnambool,-38.3833,142.4833,62.01,97,100,13.69,AU,1611612652
498,ningan,,,,,,,,
499,asau,46.4333,26.4,39.2,56,0,12.66,RO,1611612652
500,saryshagan,,,,,,,,
501,kamenskoye,,,,,,,,
502,reconquista,-29.15,-59.65,91.09,50,75,2.44,AR,1611612372
503,trelew,-43.249,-65.3051,82.8,15,0,18.43,AR,1611612560
504,faya,18.3851,42.4509,55.4,76,0,1.5,SA,1611612653
505,chapais,49.7834,-74.8492,8.6,72,90,4.61,CA,1611612653
506,san patricio,28.017,-97.5169,84.2,58,1,15.73,US,1611612653
507,rewari,28.1833,76.6167,48.2,93,0,3.85,IN,1611612653
508,barentsburg,,,,,,,,
509,ngukurr,,,,,,,,
510,beisfjord,68.3751,17.5988,8.6,85,40,2.3,NO,1611612653
511,hickory,35.7332,-81.3412,45,93,90,3.44,US,1611612653
512,xapuri,-10.6517,-68.5044,80.6,94,75,14.97,BR,1611612654
513,husavik,66.0449,-17.3389,23,86,75,4.61,IS,1611612654
514,san cristobal,7.7669,-72.225,78.8,65,40,4.61,VE,1611612506
515,miri,4.4148,114.0089,77,94,40,4.61,MY,1611612654
516,mildura,-34.2,142.15,70,88,90,10.36,AU,1611612654
517,minab,27.1467,57.0801,48.2,43,0,2.3,IR,1611612482
518,kaohsiung,22.6163,120.3133,66.99,94,75,2.3,TW,1611612654
519,fare,-16.7,-151.0167,80.71,76,47,17.09,PF,1611612655
520,zhanatas,,,,,,,,
521,pemba,-12.974,40.5178,78.8,83,20,8.05,MZ,1611612655
522,fukue,32.6881,128.8419,57.92,86,100,29.12,JP,1611612655
523,chifeng,42.2683,118.9636,9.66,86,0,7.2,CN,1611612655
524,chengde,40.9725,117.9361,20.55,86,0,2.91,CN,1611612655
525,charters towers,-20.1,146.2667,75.6,77,82,5.7,AU,1611612655
526,catuday,16.2923,119.8062,77.72,83,53,8.05,PH,1611612655
527,saint-joseph,-21.3667,55.6167,77,78,0,4.61,RE,1611612656
528,presidencia roque saenz pena,-26.7852,-60.4388,86.81,58,66,7.65,AR,1611612656
529,vaitape,-16.5167,-151.75,81.28,74,22,15.79,PF,1611612656
530,halalo,,,,,,,,
531,esil,51.9556,66.4042,28.15,98,100,9.51,KZ,1611612656
532,lodja,-3.4833,23.4333,68.72,97,77,1.74,CD,1611612656
533,podosinovets,60.2776,47.0659,32.52,96,100,10.56,RU,1611612657
534,kavaratti,10.5669,72.642,80.96,72,0,10.65,IN,1611612657
535,gbarnga,6.9956,-9.4722,70.84,79,46,3.47,LR,1611612657
536,vestmanna,62.1564,-7.1664,28.4,86,75,11.5,FO,1611612657
537,santa maria,-29.6842,-53.8069,89.6,51,20,5.75,BR,1611612657
538,coihaique,-45.5752,-72.0662,53.6,47,75,8.05,CL,1611612657
539,halifax,44.6453,-63.5724,32,80,75,17.27,CA,1611612423
540,viligili,,,,,,,,
541,severodvinsk,64.5635,39.8302,33.8,100,90,4.47,RU,1611612658
542,lianzhou,24.7811,112.3825,50.68,69,92,5.08,CN,1611612658
543,paamiut,61.994,-49.6678,22.35,83,100,8.93,GL,1611612658
544,evansville,37.9748,-87.5558,41,93,90,5.75,US,1611612411
545,tynda,55.1667,124.7167,-15.11,88,100,3.47,RU,1611612658
546,gore,-46.1028,168.9436,77,52,96,18.99,NZ,1611612658
547,de aar,-30.6497,24.0123,74.52,50,86,21.92,ZA,1611612658
548,teguldet,57.3064,88.1667,-36.08,82,100,1.97,RU,1611612659
549,fortaleza,-3.7227,-38.5247,81,83,20,4.61,BR,1611612437
550,havoysund,70.9963,24.6622,26.6,73,75,10.36,NO,1611612659
551,batesville,35.7698,-91.641,51.8,93,90,4.61,US,1611612605
552,uyuni,-20.4597,-66.825,61.83,33,39,17.38,BO,1611612659
553,turan,16.0678,108.2208,66.2,94,20,1.14,VN,1611612659
554,chicama,-7.8447,-79.1469,73.4,83,40,12.66,PE,1611612659
555,vyborg,60.7076,28.7528,35.01,97,100,3,RU,1611612659
556,dublin,37.7021,-121.9358,53.6,35,1,14.97,US,1611612660
557,pochutla,15.7432,-96.4661,91,37,20,11.5,MX,1611612660
558,melo,-32.3667,-54.1833,82.6,55,17,8.5,UY,1611612660
559,samur,41.8253,48.486,38.3,74,14,1.81,RU,1611612660
560,champerico,14.3,-91.9167,89.6,55,40,9.22,GT,1611612660
561,afua,-0.1567,-50.3867,77.22,88,95,5.48,BR,1611612660
562,arrecife,28.963,-13.5477,64.4,72,40,13.8,ES,1611612660
563,san lazaro,18.0387,-88.6622,86,78,75,17.27,BZ,1611612661
564,carutapera,-1.195,-46.02,77.92,87,100,5.95,BR,1611612661
565,khani,41.9563,42.9566,50,32,0,10.36,GE,1611612661
566,anadyr,64.75,177.4833,-14.01,76,75,4.47,RU,1611612661
567,montoro,38.0241,-4.3834,59,82,90,6.91,ES,1611612661
568,bolshaya vishera,,,,,,,,
569,kijang,35.2442,129.2139,44.6,76,75,8.05,KR,1611612661
570,norden,53.6,7.2,35.01,87,100,7,DE,1611612604
571,college,64.8569,-147.8028,5,77,75,2.91,US,1611612662
572,tual,-5.6667,132.75,84.29,74,100,18.81,ID,1611612662
573,amurzet,47.6967,131.0981,0.73,93,100,7.94,RU,1611612662
574,altamira,-3.2033,-52.2064,86,74,20,2.3,BR,1611612662
575,coahuayana,18.7333,-103.6833,78.8,65,75,5.75,MX,1611612662
576,solovetskiy,,,,,,,,
577,korla,41.7597,86.1469,18.19,85,1,1.19,CN,1611612663
578,linhares,-19.3911,-40.0722,75,83,88,4.63,BR,1611612663
579,wagar,16.1525,36.2032,69.64,81,35,15.23,SD,1611612663
580,louisbourg,,,,,,,,
581,axams,47.2081,11.2869,28.4,74,75,1.14,AT,1611612663
582,santa rosa,14.3122,121.1114,75.2,94,20,3.44,PH,1611612606
583,preobrazheniye,42.9019,133.9064,27.36,93,100,9.51,RU,1611612664
584,salacgriva,57.7536,24.3581,28.99,96,100,4.52,LV,1611612664
585,sanbu,33.4594,119.1453,45.16,97,100,5.19,CN,1611612664
586,palabuhanratu,,,,,,,,
587,vostok,46.4856,135.8833,9.97,95,100,5.23,RU,1611612664
588,nelson bay,-32.7167,152.15,82.4,65,0,5.75,AU,1611612664
589,mahibadhoo,3.7833,72.9667,81.07,79,100,14.81,MV,1611612655
590,bokspits,,,,,,,,
591,springbok,-29.6643,17.8865,63.86,58,0,4.74,ZA,1611612665
592,stromness,58.965,-3.296,37.4,87,40,18.41,GB,1611612665
593,jiblah,13.9216,44.1467,57.52,61,0,2.82,YE,1611612665
594,nioro,13.35,-15.75,75.47,18,0,3.62,GM,1611612665
595,aloleng,16.1307,119.7824,78.73,79,47,6.78,PH,1611612666
596,port augusta,-32.5,137.7667,68,94,90,13.8,AU,1611612666
597,tuy hoa,13.0833,109.3,68.59,88,59,6.33,VN,1611612666
598,simplicio mendes,-7.8539,-41.9103,81.82,49,28,5.57,BR,1611612666
599,roebourne,-20.7833,117.1333,82.69,32,94,10.83,AU,1611612666
600,anori,-3.7728,-61.6442,78.93,92,100,1.07,BR,1611612666
601,nueve de julio,-35.4444,-60.8831,99.28,18,51,8.68,AR,1611612666
602,tchaourou,8.8865,2.5975,77.31,18,74,4.88,BJ,1611612667
603,mountain home,43.133,-115.6912,35.6,55,90,5.75,US,1611612667
604,baykit,61.67,96.37,-40.05,75,25,1.23,RU,1611612667
605,sao filipe,14.8961,-24.4956,73.18,67,48,3.85,CV,1611612667
606,port hedland,-20.3167,118.5667,77,83,93,8.05,AU,1611612667
607,aleksandrov gay,50.147,48.5704,24.21,96,84,10,RU,1611612667
608,chotila,22.4167,71.1833,54.84,40,0,9.13,IN,1611612668
609,moussoro,13.6408,16.4901,73.6,19,34,13.76,TD,1611612668
610,zaysan,47.4667,84.8667,-3.12,88,100,0.67,KZ,1611612668
611,birin,26.8865,88.0718,42.66,87,1,3.33,NP,1611612668
612,luba,3.4568,8.5547,78.8,94,20,8.05,GQ,1611612668
613,auki,-8.7676,160.7034,83.3,66,95,7.29,SB,1611612668
614,abu ghosh,31.8059,35.1093,52,76,0,5.75,IL,1611612668
615,martapura,-3.4167,114.85,75.2,100,75,2.3,ID,1611612669
616,russkaya polyana,49.417,31.9201,45.16,89,100,21.54,UA,1611612669
617,terrace bay,48.7834,-87.1,10.4,78,75,9.22,CA,1611612669
618,killybegs,54.6333,-8.45,37.99,92,100,1.99,IE,1611612669
619,williston,48.147,-103.618,6.01,77,94,10.2,US,1611612669
620,ludwigsfelde,52.3,13.2667,34,93,75,5.75,DE,1611612669
621,grimshaw,56.1834,-117.6027,-0.4,71,90,10.36,CA,1611612669
622,rostaq,,,,,,,,
623,ulaangom,49.9811,92.0667,-9.89,82,100,2.8,MN,1611612670
624,coxim,-18.5067,-54.76,83.07,70,99,4.34,BR,1611612483
625,shache,38.4167,77.2406,19.17,86,13,1.01,CN,1611612670
626,lata,40.1629,-8.3327,59,97,100,3,PT,1611612670
627,sataua,,,,,,,,
628,avera,33.194,-82.5271,73.4,64,75,6.91,US,1611612670
629,inirida,3.8653,-67.9239,81.86,79,88,1.66,CO,1611612670
630,daru,-9.0763,143.2092,78.55,87,73,7.76,PG,1611612671
631,pisco,-13.7,-76.2167,75.2,64,75,24.16,PE,1611612671
632,gotsu,35,132.2167,46.22,75,100,9.13,JP,1611612562
633,burnie,-41.0667,145.9167,64,67,72,17,AU,1611612671
634,hadishahr,38.8431,45.6635,6.8,85,17,4.61,AZ,1611612671
635,andenes,69.3143,16.1194,24.01,86,23,10.36,NO,1611612671
636,damghan,36.1683,54.348,32.04,78,0,1.79,IR,1611612671
637,thunder bay,48.4001,-89.3168,10.4,56,20,10.36,CA,1611612671
638,pombal,-6.7703,-37.8017,87.04,44,99,10.29,BR,1611612672
639,port-cartier,50.0334,-66.8654,36,64,100,6.91,CA,1611612672
640,chatrapur,19.35,84.9833,70.39,87,4,3.36,IN,1611612672
641,denia,38.8408,0.1057,59,78,74,1.01,ES,1611612672
642,qingdao,36.0986,120.3719,37.99,93,75,6.71,CN,1611612672
