,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
390,bilma,18.6853,12.9164,61.65,26,0,6.73,NE,1611433453
391,la ronge,55.1001,-105.2842,-13,70,94,6.91,CA,1611433453
392,klaksvik,62.2266,-6.589,32,86,75,14.47,FO,1611433453
393,lamar,33.6668,-95.5836,51.01,66,90,11.5,US,1611433453
394,gazimurskiy zavod,51.5461,118.3266,9.41,91,100,1.77,RU,1611433453
395,hokitika,-42.7167,170.9667,54.23,83,100,1.48,NZ,1611433454
396,bolobo,-2.1667,16.2333,74.97,86,91,3.62,CD,1611433454
397,jesus maria,-30.9815,-64.0942,95,45,0,9.22,AR,1611433454
398,kankon,15.0167,74.0167,77,94,2,2.3,IN,1611433454
399,madang,-5.2246,145.7966,77.09,86,100,3.6,PG,1611433454
400,prince rupert,54.3161,-130.3201,35.6,86,90,6.91,CA,1611433454
401,boa vista,2.8197,-60.6733,82.4,65,75,5.75,BR,1611433163
402,palmer,42.1584,-72.3287,26.01,47,0,1.01,US,1611433455
403,labytnangi,66.6572,66.4183,-37.77,80,11,3.74,RU,1611433408
404,thinadhoo,0.5333,72.9333,82.78,68,92,4.81,MV,1611433455
405,kahului,20.8947,-156.47,77,65,40,18.41,US,1611433455
406,casper,42.8666,-106.3131,24.01,86,90,12.66,US,1611433455
407,mundo nuevo,18.7,-95.5,76.42,77,70,3.94,MX,1611433455
408,sterling,39.0062,-77.4286,34,32,20,18.41,US,1611433455
409,vieques,18.425,-65.8329,82.4,65,40,14.97,PR,1611433455
410,sola,-13.8833,167.55,81.88,79,90,11.05,VU,1611433456
411,wembley,-31.9333,115.8,64.99,88,0,3.44,AU,1611433456
412,havre-saint-pierre,50.2334,-63.5986,23,93,90,16.11,CA,1611433456
413,pacific grove,36.6177,-121.9166,54,76,1,6.91,US,1611433456
414,kenai,60.5544,-151.2583,37,75,90,21.85,US,1611433456
415,santa clara,22.4,-79.9667,82.4,51,40,4.61,CU,1611433456
416,black river,18.0264,-77.8487,84,69,40,17.27,JM,1611433456
417,cairns,-16.9167,145.7667,77,78,72,8.05,AU,1611433456
418,plettenberg bay,-34.0527,23.3716,68.59,72,38,7.92,ZA,1611433457
419,methoni,36.8197,21.7049,59,82,52,13.8,GR,1611433290
420,kargasok,59.0556,80.8572,-49.41,76,52,6.24,RU,1611433457
421,kerki,,,,,,,,
422,sujawal,,,,,,,,
423,vaitupu,,,,,,,,
424,ust-bolsheretsk,,,,,,,,
425,kyle of lochalsh,,,,,,,,
426,galiwinku,,,,,,,,
427,barranca,-10.75,-77.7667,76.42,63,2,10.11,PE,1611433458
428,along,28.1667,94.7667,49.66,65,1,2.24,IN,1611433458
429,nome,64.5011,-165.4064,32,93,90,4.18,US,1611433458
430,marsa matruh,31.3525,27.2453,51.8,71,0,2.48,EG,1611433458
431,utiroa,,,,,,,,
432,svetlogorsk,52.6333,29.7333,32.02,98,60,9.08,BY,1611433458
433,vila,42.0304,-8.1588,48.99,95,91,15.32,PT,1611433458
434,lebu,-37.6167,-73.65,65.39,76,6,18.32,CL,1611433458
435,ballina,-28.8667,153.5667,64.4,88,39,3.44,AU,1611433459
436,north bend,43.4065,-124.2243,46.99,71,1,3.44,US,1611433459
437,ekhabi,53.5102,142.9671,-11.15,85,100,3.42,RU,1611433459
438,kavaratti,10.5669,72.642,81.05,72,26,9.48,IN,1611433459
439,hammerfest,70.6634,23.6821,14,79,90,18.41,NO,1611433459
440,les cayes,18.2,-73.75,80.02,72,52,9.31,HT,1611433459
441,los llanos de aridane,28.6585,-17.9182,66.2,77,75,5.75,ES,1611433459
442,atambua,-9.1061,124.8925,75.67,88,94,3.91,ID,1611433460
443,airai,-8.9266,125.4092,61.86,100,93,1.86,TL,1611433460
444,polewali,-3.4324,119.3435,77.23,75,100,2.37,ID,1611433460
445,port hedland,-20.3167,118.5667,82.4,65,5,12.66,AU,1611433460
446,ostrovnoy,68.0531,39.5131,5.92,93,100,18.66,RU,1611433460
447,portland,45.5234,-122.6762,44.01,65,20,3.44,US,1611433230
448,yangmei,24.1023,112.5618,52.59,75,0,2.77,CN,1611433460
449,kenora,49.8167,-94.4337,19.4,79,90,11.5,CA,1611433450
450,namatanai,-3.6667,152.4333,79.48,77,90,4.65,PG,1611433460
451,kosonsoy,41.2561,71.5508,24.8,54,56,4.61,UZ,1611433461
452,statesboro,32.4488,-81.7832,64.4,44,1,5.75,US,1611433461
453,ust-kuyga,70.0167,135.6,-44.3,77,90,1.68,RU,1611433461
454,kangaatsiaq,68.3065,-53.4641,11.66,83,45,5.79,GL,1611433461
455,mahbubabad,17.6167,80.0167,66.63,89,0,4.85,IN,1611433461
456,winnemucca,40.973,-117.7357,37.4,70,1,6.91,US,1611433461
457,deep river,46.1001,-77.4995,10.99,56,1,12.66,CA,1611433461
458,lumphat,13.4878,106.9816,69.75,80,30,4.88,KH,1611433461
459,wloclawek,52.6482,19.0678,35.01,90,100,3,PL,1611433462
460,kushima,31.4583,131.2333,57,100,100,3,JP,1611433462
461,laishevo,55.4046,49.5504,17.6,86,90,13.42,RU,1611433462
462,winneba,5.3511,-0.6231,80.6,83,0,3.44,GH,1611433462
463,tiznit,29.5833,-9.5,58.55,82,34,1.61,MA,1611433462
464,padang,-0.9492,100.3543,73.4,94,75,2.3,ID,1611433462
465,zinacatepec,18.3333,-97.25,83.16,20,100,4.65,MX,1611433462
466,moose factory,51.2585,-80.6094,-0.4,65,1,9.22,CA,1611433463
467,baculin,7.4525,126.5842,76.42,77,100,5.17,PH,1611433463
468,ahipara,-35.1667,173.1667,66.47,71,34,8.77,NZ,1611433463
469,wajima,37.4,136.9,45.14,83,100,17.6,JP,1611433463
470,akhtanizovskaya,45.32,37.1,46,70,70,13.42,RU,1611433463
471,sembe,1.6481,14.5806,77.09,60,96,3.42,CG,1611433463
472,shchelyayur,,,,,,,,
473,grand river south east,,,,,,,,
474,jumla,29.2747,82.1838,33.93,65,0,5.86,NP,1611433464
475,avera,33.194,-82.5271,59,36,1,5.75,US,1611433464
476,shubarkuduk,49.1447,56.4872,9.01,94,100,10.58,KZ,1611433464
477,brigantine,39.4101,-74.3646,33.8,34,1,25.32,US,1611433464
478,balkanabat,39.5108,54.3671,35.91,70,100,10.78,TM,1611433464
479,laguna,38.421,-121.4238,53.01,76,40,11.5,US,1611433464
480,ola,59.5833,151.2833,-15.29,82,0,9.01,RU,1611433464
481,a coruna,43.3713,-8.396,55.99,82,40,16.11,ES,1611433465
482,shimoda,34.6667,138.95,37,94,100,5.01,JP,1611433465
483,itaqui,-29.1253,-56.5531,93.34,39,55,3.8,BR,1611433465
484,yenagoa,4.9247,6.2642,79.34,77,100,6.46,NG,1611433465
485,tahoua,14.8888,5.2692,75.2,14,0,4.61,NE,1611433465
486,tambul,,,,,,,,
487,pisco,-13.7,-76.2167,80.6,57,0,11.5,PE,1611433466
488,porto novo,6.4965,2.6036,80.6,61,100,4.61,BJ,1611433466
489,rafai,4.95,23.9167,77.11,32,100,2.95,CF,1611433466
490,conceicao do araguaia,-8.2578,-49.2647,84.67,76,10,5.1,BR,1611433466
491,eyl,7.9803,49.8164,73.94,71,100,18.3,SO,1611433466
492,yeppoon,-23.1333,150.7333,71.6,78,75,6.91,AU,1611433466
493,alyangula,-13.8483,136.4192,77,100,40,7,AU,1611433466
494,zhezkazgan,47.8043,67.7144,-7.35,89,0,2.71,KZ,1611433466
495,bangolo,7.0069,-7.475,75.88,20,0,1.79,CI,1611433466
496,nouakchott,18.0858,-15.9785,75.2,7,14,8.05,MR,1611433433
497,sonoma,38.55,-122.9011,57,66,20,2.93,US,1611433467
498,abaete,-19.16,-45.4458,81.97,59,0,5.57,BR,1611433271
499,auki,-8.7676,160.7034,76.64,76,69,3.89,SB,1611433467
500,cap-aux-meules,47.3821,-61.8597,26.6,74,100,21.85,CA,1611433467
501,srednekolymsk,67.45,153.6833,-29.74,84,100,8.41,RU,1611433467
502,nagyecsed,47.8655,22.3916,46.4,71,90,4.61,HU,1611433467
503,tayoltita,24.0833,-105.9333,77.95,29,54,5.99,MX,1611433467
504,znamenskoye,57.1281,73.8282,-42.57,80,14,4.59,RU,1611433468
505,otane,-39.8833,176.6333,70,67,50,17,NZ,1611433468
506,tala,30.6803,30.9429,47.5,69,0,4.14,EG,1611433468
507,saint-augustin,51.226,-58.6502,31.64,99,100,9.28,CA,1611433468
508,nizhniy tsasuchey,50.5167,115.1333,8.26,89,100,1.95,RU,1611433468
509,parana,-31.732,-60.5238,96.01,38,34,8.01,AR,1611433282
510,gizo,-8.103,156.8419,80.94,73,100,6.87,SB,1611433468
511,myitkyina,25.3833,97.4,58.84,71,32,1.81,MM,1611433468
512,bargal,,,,,,,,
513,praia da vitoria,38.7333,-27.0667,62.6,94,75,20.07,PT,1611433469
514,dudinka,69.4058,86.1778,-40.7,78,23,1.21,RU,1611433469
515,almeirim,-1.5233,-52.5817,90.7,41,5,6.93,BR,1611433469
516,oistins,13.0667,-59.5333,82.4,61,20,14.97,BB,1611433216
517,ocos,14.5094,-92.1933,89.6,62,40,10.36,GT,1611433469
518,okato,-39.2,173.8833,63,92,100,4,NZ,1611433469
519,purranque,-40.9167,-73.1667,78.8,48,75,12.66,CL,1611433469
520,hearst,49.6835,-83.6665,6.8,66,97,2.3,CA,1611433470
521,moscow,55.7522,37.6156,35.01,100,90,6.71,RU,1611433369
522,loiza,18.4313,-65.8802,82.4,65,40,14.97,PR,1611433470
523,jarjis,,,,,,,,
524,puksoozero,62.5903,40.6066,23.54,98,100,7.61,RU,1611433470
525,venustiano carranza,19.43,-99.0992,75,27,90,4.61,MX,1611433470
526,tongchuan,35.0806,109.0897,34.9,80,82,3.76,CN,1611433470
527,tunduru,,,,,,,,
528,kazalinsk,,,,,,,,
529,nago,26.5881,127.9761,66.2,77,75,21.85,JP,1611433471
530,leeuwarden,53.2014,5.8086,35.01,93,75,2.3,NL,1611433471
531,amapa,1,-52,78.64,93,100,4.45,BR,1611433471
532,gornopravdinsk,60.05,69.9,-42.14,80,38,2.57,RU,1611433471
533,slave lake,55.2834,-114.769,-0.4,71,90,6.91,CA,1611433471
534,hillsboro,45.5229,-122.9898,45,75,1,2.57,US,1611433316
535,landeck,47.1301,10.5636,32,92,96,3.49,AT,1611433471
536,sorland,67.667,12.6934,26.29,92,86,13.91,NO,1611433472
537,montrose,38.4166,-108.2673,42.8,36,1,12.66,US,1611433472
538,mecca,21.4267,39.8261,75.34,52,1,2.17,SA,1611433472
539,takoradi,4.8845,-1.7554,79.86,81,0,10.89,GH,1611433472
540,kavieng,-2.5744,150.7967,81.37,78,100,6.8,PG,1611433472
541,sentyabrskiy,,,,,,,,
542,nerja,36.7585,-3.8873,59,76,82,8.99,ES,1611433213
543,kapuskasing,49.4169,-82.4331,5,56,100,2.15,CA,1611433473
544,abha,18.2164,42.5053,55.4,38,14,4.61,SA,1611433248
545,taoudenni,22.6783,-3.9836,68.86,19,0,9.82,ML,1611433473
546,samusu,,,,,,,,
547,ibirite,-20.0219,-44.0589,84.2,39,40,11.5,BR,1611433473
548,camacha,33.0833,-16.3333,60.8,94,40,3.44,PT,1611433473
549,beyneu,45.3167,55.2,33.12,94,100,7.76,KZ,1611433473
550,oranjemund,-28.55,16.4333,64.54,81,93,15.75,NA,1611433473
551,forio,40.7342,13.8646,57,64,1,8.99,IT,1611433382
552,duku,11.2361,4.9073,77.83,17,9,7.49,NG,1611433474
553,kirksville,40.1948,-92.5833,34,37,40,13.8,US,1611433474
554,zhigalovo,54.8097,105.1578,-5.84,87,100,1.48,RU,1611433474
555,warrnambool,-38.3833,142.4833,62.01,87,100,9.1,AU,1611433474
556,namwala,-15.7504,26.4384,66.09,97,100,4.34,ZM,1611433474
557,markova,48.6758,24.4138,39.2,81,80,5.26,UA,1611433474
558,nabire,-3.3667,135.4833,74.61,87,69,3.42,ID,1611433475
559,borujerd,33.8973,48.7516,31.24,79,94,0.83,IR,1611433475
560,rungata,,,,,,,,
561,tsihombe,,,,,,,,
562,smolenka,52.1352,113.4974,14,79,40,2.24,RU,1611433475
563,ponta delgada,37.7333,-25.6667,63,100,75,10.36,PT,1611433475
564,bara,10.3744,10.7288,74.62,20,100,7.65,NG,1611433475
565,russell,32.3502,-85.1999,66,27,1,5.75,US,1611433475
566,urumqi,43.801,87.6005,10.4,85,0,2.24,CN,1611433476
567,rio grande,-32.035,-52.0986,84.2,65,40,11.5,BR,1611433476
568,suao,,,,,,,,
569,gushikawa,26.3544,127.8686,66.2,77,75,21.85,JP,1611433476
570,quelimane,-17.8786,36.8883,78.8,83,75,9.22,MZ,1611433476
571,berlevag,70.8578,29.0864,22.5,94,100,30.27,NO,1611433476
572,yar-sale,66.8333,70.8333,-40,81,16,2.98,RU,1611433476
573,mehamn,71.0357,27.8492,21.38,94,100,27.56,NO,1611433476
574,tabas,33.5959,56.9244,30.2,24,0,4.61,IR,1611433477
575,rabak,13.1809,32.74,76.69,26,15,11.88,SD,1611433477
576,batagay-alyta,67.8006,130.4114,-40.09,74,79,1.14,RU,1611433477
577,riyadh,24.6877,46.7219,50,29,0,4.61,SA,1611433477
578,kurilsk,45.2333,147.8833,18.9,93,99,6.8,RU,1611433477
579,ondjiva,-17.0667,15.7333,74.86,37,100,4.32,AO,1611433477
580,cirpan,,,,,,,,
581,kaitong,44.8135,123.15,10.56,93,0,6.91,CN,1611433477
582,nykobing,,,,,,,,
583,waterloo,43.4668,-80.5164,19.4,68,90,10.36,CA,1611433408
584,la libertad,-2.2333,-80.9,86,66,0,8.05,EC,1611433478
585,vila franca do campo,37.7167,-25.4333,63,100,75,10.36,PT,1611433478
586,miramar,25.9873,-80.2323,81,47,20,7.14,US,1611433478
587,dolinsk,47.35,142.8,-11.2,77,40,8.66,RU,1611433478
588,mingaora,34.7758,72.3625,37.9,67,0,6.85,PK,1611433478
589,el paso,31.8001,-106.2005,63,36,20,14.97,US,1611433478
590,natal,-5.795,-35.2094,84.2,61,40,20.71,BR,1611433195
591,kommunar,59.6206,30.39,33.8,86,90,6.71,RU,1611433479
592,tanete,-3.9443,119.7848,76.5,83,100,2.24,ID,1611433479
593,kologriv,58.8275,44.3178,19.42,97,100,4.27,RU,1611433479
594,victoria point,-27.5833,153.3,70,76,74,4.94,AU,1611433479
595,kuliyapitiya,7.4688,80.0401,73.4,88,0,4.61,LK,1611433479
596,san ramon de la nueva oran,-23.1322,-64.326,98.01,44,94,3.44,AR,1611433479
597,mersing,2.4312,103.8405,73.4,94,91,5.75,MY,1611433479
598,safaga,26.7292,33.9365,60.8,55,0,8.05,EG,1611433480
599,khandyga,62.6667,135.6,-45.58,78,100,1.61,RU,1611433480
600,qena,26.1615,32.7183,55.4,44,0,3.44,EG,1611433480
601,necochea,-38.5473,-58.7368,87.98,38,0,13.4,AR,1611433480
602,keti bandar,24.1447,67.4497,64,27,0,7.67,PK,1611433480
603,omboue,-1.5746,9.2618,78.01,84,100,4.43,GA,1611433480
604,iquitos,-3.7481,-73.2472,84.2,70,75,5.75,PE,1611433394
605,teguldet,57.3064,88.1667,-5.55,92,100,3.89,RU,1611433480
